eid	doctype	pubyear	source_id	volume	issue	page-start	page-end
48249149859	ar	2008	25900.0	25	1	35	50
48349119578	ar	2008	29148.0	78	1		
48449085221	ar	2008	12671.0	11	6	579	595
48449089238	ar	2008	16683.0	15	9	1027	1030
48749087585	ar	2008	16667.0	28	8	1469	1477
48749106192	ar	2008	8.300153214E9	8	1		
48849108966	ar	2008	26048.0	54	2	657	662
48849117473	ar	2008	26203.0	57	9	1204	1210
49049090200	cp	2008	1.2100154503E10			416	421
49049091194	ip	???	29451.0				
49049094290	cp	2008	1.2100154507E10			322	326
49049096002	cp	2008	1.2100154507E10			193	199
49049101561	cp	2008	1.2100154507E10			501	508
49049104257	cp	2008	1.2100154507E10			145	152
49049105032	cp	2008	1.2100154507E10			265	272
49049117909	cp	2008	1.2100154507E10			273	279
49049121843	ar	2008	16813.0	74	2	16	32
49149086168	ar	2008	28224.0	38	6	302	307
49149093734	ar	2008	20250.0	82	16	8038	8050
49149097417	ar	2008	69336.0	56	1	23	28
49249117338	ar	2008	25053.0	10	4	14	19
49249125065	ar	2008	23311.0	294	6		
49349103881	ar	2008	16099.0	10	5	572	578
49649086038	ar	2008	19823.0	64	8	657	659
49649087153	ar	2008	15631.0	28	5	391	402
49649088880	ar	2008	17557.0	40	6	1263	1280
49649091793	ar	2008	19823.0	64	8	671	680
49649108193	ar	2008	19723.0	7	6	817	826
49649111588	ar	2008	29220.0	32	8	1578	1589
49649120626	ar	2008	20039.0	28	9	804	830
49749090140	ar	2008	23355.0	134	9	789	799
49749114905	ar	2008	28132.0	104	3		
49749115277	ar	2008	4.700151712E9	6		243	255
49749148399	ar	2008	16867.0	47	33	8711	8718
49849101552	ar	2008	29341.0	34	2	163	169
49949087324	ar	2008	23746.0	41	8	56	62
50049095586	re	2008	29451.0	13	5	373	382
50049098373	cp	2008	17317.0			372	377
50049099964	cp	2008	17317.0			296	299
50049113294	ar	2008	22586.0	27	4	633	641
50149114170	ar	2008	16272.0	11	4	391	398
